ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside,XClick1X,XClick2X,XClick3X,XClick4X,XClick1Y,XClick2Y,XClick3Y,XClick4Y,ClassName
00028844acae6fae,activemil,/m/01j51,1,0.144375,0.250625,0.367827,0.562559,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Balloon
00028844acae6fae,xclick,/m/01j51,1,0.090625,0.3225,0.352775,0.73095,1,0,1,0,0,0.2125,0.090625,0.3225,0.2075,0.352775,0.572907,0.485419,0.73095,Balloon
00028844acae6fae,xclick,/m/01j51,1,0.748125,0.775,0.439323,0.472248,1,0,0,0,0,0.753125,0.758125,0.748125,0.775,0.439323,0.472248,0.452493,0.459078,Balloon
00028844acae6fae,xclick,/m/01j51,1,0.803125,0.82875,0.529633,0.587959,1,0,0,0,0,0.811875,0.825,0.803125,0.82875,0.529633,0.587959,0.534337,0.555033,Balloon
00028844acae6fae,xclick,/m/01j51,1,0.83875,0.88125,0.61524,0.651928,1,0,0,0,0,0.87625,0.87625,0.88125,0.83875,0.61524,0.651928,0.626529,0.61524,Balloon
00028844acae6fae,xclick,/m/01j51,1,0.845625,0.8875,0.643462,0.711195,1,0,0,0,0,0.860625,0.865625,0.845625,0.8875,0.643462,0.711195,0.657573,0.682032,Balloon
000574f10b4f2d4a,xclick,/m/01j51,1,0.0,0.06375,0.658537,0.753283,1,1,0,0,0,0.030625,0.030625,0.0,0.06375,0.658537,0.753283,0.711069,0.69137,Balloon
000574f10b4f2d4a,xclick,/m/01j51,1,0.296875,0.343125,0.422139,0.4803,1,0,0,0,0,0.3225,0.3225,0.296875,0.343125,0.422139,0.4803,0.453096,0.453096,Balloon
000574f10b4f2d4a,xclick,/m/01j51,1,0.594375,0.695625,0.241088,0.345216,0,0,0,0,0,0.645625,0.645625,0.594375,0.695625,0.241088,0.345216,0.287992,0.28424,Balloon
000574f10b4f2d4a,xclick,/m/01j51,1,0.846875,0.953125,0.712946,0.859287,1,0,0,0,0,0.903125,0.913125,0.846875,0.953125,0.712946,0.859287,0.775797,0.789869,Balloon
00061f49c4d2c9e6,xclick,/m/01j51,1,0.324324,0.620032,0.041875,0.179375,0,0,0,0,0,0.384738,0.324324,0.620032,0.417329,0.041875,0.12375,0.11,0.179375,Balloon
0007b266f24a0c12,xclick,/m/01j51,1,0.306875,0.9925,0.109756,0.340525,1,1,1,0,0,0.454375,0.306875,0.9925,0.47375,0.109756,0.165103,0.238274,0.340525,Balloon
000a816392d086c4,xclick,/m/09b5t,1,0.307498,0.740522,0.619375,0.999375,1,1,0,0,0,0.381634,0.307498,0.740522,0.314238,0.619375,0.6825,0.999375,0.999375,Chicken
000a816392d086c4,xclick,/m/09b5t,1,0.409436,0.999158,0.148125,0.999375,0,1,0,0,0,0.581297,0.409436,0.759899,0.999158,0.148125,0.265625,0.999375,0.828125,Chicken
000baa6f7dae9b79,xclick,/m/01j51,1,0.0,0.999375,0.206667,0.4975,1,1,1,0,0,0.16625,0.1225,0.0,0.999375,0.206667,0.4975,0.368333,0.2825,Balloon
00112ec5eef280e8,xclick,/m/01j51,1,0.82,0.999375,0.0,0.585366,1,1,1,0,0,0.910625,0.9825,0.82,0.999375,0.0,0.585366,0.22045,0.268293,Balloon
0011ad6139e676b4,xclick,/m/01j51,1,0.19137,0.888368,0.219375,0.783125,0,0,0,0,0,0.52439,0.888368,0.19137,0.516886,0.219375,0.43125,0.420625,0.783125,Balloon
00168c4b73798939,xclick,/m/01j51,1,0.764375,0.825,0.270833,0.351667,1,0,0,0,0,0.79625,0.7975,0.764375,0.825,0.270833,0.351667,0.308333,0.306667,Balloon
00168c4b73798939,xclick,/m/01j51,1,0.820625,0.890625,0.1075,0.214167,0,0,0,0,0,0.859375,0.854375,0.820625,0.890625,0.1075,0.214167,0.153333,0.160833,Balloon
0016f577f9811ad3,xclick,/m/01j51,1,0.359375,0.41375,0.695,0.759167,0,0,0,0,0,0.37625,0.359375,0.41375,0.399375,0.695,0.725833,0.735,0.759167,Balloon
0016f577f9811ad3,xclick,/m/01j51,1,0.595625,0.616875,0.861667,0.890833,0,0,0,0,0,0.60625,0.60625,0.595625,0.616875,0.861667,0.890833,0.8825,0.871667,Balloon
0018b38d7afbb037,activemil,/m/01j51,1,0.123125,0.220625,0.236398,0.394934,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Balloon
0018b38d7afbb037,xclick,/m/01j51,1,0.09625,0.2475,0.111632,0.538462,1,0,1,0,0,0.164375,0.09625,0.2475,0.135,0.111632,0.439962,0.446529,0.538462,Balloon
0019b7979a41c225,activemil,/m/01j51,1,0.29,0.3425,0.578947,0.699013,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Balloon
0019b7979a41c225,xclick,/m/01j51,1,0.0,0.999375,0.0,0.930921,1,1,1,0,0,0.545625,0.0,0.341875,0.999375,0.0,0.202303,0.930921,0.309211,Balloon
0019d2d17cd585c4,xclick,/m/01j51,1,0.085,0.153125,0.465,0.565,0,0,0,0,0,0.114375,0.116875,0.085,0.153125,0.465,0.565,0.513333,0.511667,Balloon
0019d2d17cd585c4,xclick,/m/01j51,1,0.109375,0.17,0.345833,0.430833,0,0,0,0,0,0.145625,0.135,0.109375,0.17,0.345833,0.430833,0.375,0.3875,Balloon
0019d2d17cd585c4,xclick,/m/01j51,1,0.1375,0.198125,0.4375,0.534167,1,0,0,0,0,0.17,0.158125,0.1375,0.198125,0.4375,0.534167,0.4675,0.491667,Balloon
001b30ed0186b87e,xclick,/m/01j51,1,0.067732,0.126518,0.228544,0.307618,1,0,0,0,0,0.098403,0.081789,0.067732,0.126518,0.228544,0.307618,0.280617,0.238187,Balloon
001b30ed0186b87e,xclick,/m/01j51,1,0.082428,0.139936,0.251688,0.353905,1,0,0,0,0,0.11885,0.082428,0.139936,0.115655,0.251688,0.313404,0.310511,0.353905,Balloon
001b30ed0186b87e,xclick,/m/01j51,1,0.127796,0.199361,0.180328,0.23433,1,0,0,0,0,0.177636,0.143131,0.127796,0.199361,0.180328,0.23433,0.220829,0.215043,Balloon
001b30ed0186b87e,xclick,/m/01j51,1,0.302236,0.355911,0.143684,0.261331,1,0,0,0,0,0.338019,0.348243,0.302236,0.355911,0.143684,0.261331,0.180328,0.242044,Balloon
001b30ed0186b87e,xclick,/m/01j51,1,0.607029,0.699681,0.155256,0.267117,1,0,0,0,0,0.655591,0.615974,0.607029,0.699681,0.155256,0.267117,0.242044,0.203472,Balloon
001eec76ef36e679,xclick,/m/01j51,1,0.0,0.802734,0.0,0.816984,1,1,0,0,0,0.462891,0.0,0.802734,0.407227,0.0,0.143485,0.745242,0.816984,Balloon
001faefaa0ae2053,xclick,/m/09b5t,1,0.39625,0.55375,0.370544,0.651032,1,0,0,0,0,0.52125,0.501875,0.55375,0.39625,0.370544,0.651032,0.474672,0.430582,Chicken
001fb915d3bce19f,xclick,/m/01j51,1,0.358125,0.48375,0.622873,0.800545,0,0,0,0,0,0.413125,0.4425,0.358125,0.48375,0.622873,0.800545,0.690946,0.696392,Balloon
001fb915d3bce19f,xclick,/m/01j51,1,0.38125,0.505625,0.430905,0.631042,1,0,0,0,0,0.42375,0.456875,0.38125,0.505625,0.430905,0.631042,0.509871,0.533696,Balloon
001fb915d3bce19f,xclick,/m/01j51,1,0.425625,0.560625,0.341729,0.554118,0,0,0,0,0,0.4975,0.48375,0.425625,0.560625,0.341729,0.554118,0.411845,0.425459,Balloon
001fb915d3bce19f,xclick,/m/01j51,1,0.47125,0.60625,0.521443,0.718176,1,0,0,0,0,0.541875,0.50875,0.47125,0.60625,0.521443,0.718176,0.600408,0.60177,Balloon
001fb915d3bce19f,xclick,/m/01j51,1,0.66,0.755625,0.264806,0.368958,1,0,0,0,0,0.708125,0.67875,0.66,0.755625,0.264806,0.368958,0.3145,0.330157,Balloon
001fb915d3bce19f,xclick,/m/01j51,1,0.670625,0.74,0.151804,0.275017,1,0,0,0,0,0.705,0.731875,0.74,0.670625,0.151804,0.275017,0.257999,0.209666,Balloon
